action_type,combined_shot_type,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,opponent,label
Jump Shot,Jump Shot,33.9723,167,72,-118.1028,10,1,0,Jan-00,27,18,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,POR,
Jump Shot,Jump Shot,34.0443,-157,0,-118.4268,10,1,0,Jan-00,22,15,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,POR,0
Jump Shot,Jump Shot,33.9093,-101,135,-118.3708,7,1,0,Jan-00,45,16,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,POR,1
Jump Shot,Jump Shot,33.8693,138,175,-118.1318,6,1,0,Jan-00,52,22,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,POR,0
Driving Dunk Shot,Dunk,34.0443,0,0,-118.2698,6,2,0,Jan-00,19,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,POR,1
Jump Shot,Jump Shot,34.0553,-145,-11,-118.4148,9,3,0,Jan-00,32,14,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,POR,0
Layup Shot,Layup,34.0443,0,0,-118.2698,8,3,0,Jan-00,52,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,POR,1
Jump Shot,Jump Shot,34.0163,1,28,-118.2688,8,3,0,Jan-00,5,2,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,POR,
Jump Shot,Jump Shot,33.9363,-65,108,-118.3348,6,3,0,Jan-00,12,12,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,POR,1
Running Jump Shot,Jump Shot,33.9193,-33,125,-118.3028,3,3,0,Jan-00,36,12,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,POR,0
Jump Shot,Jump Shot,33.8063,-94,238,-118.3638,1,3,0,Jan-00,56,25,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,POR,0
Jump Shot,Jump Shot,33.9173,121,127,-118.1488,11,1,0,Jan-00,0,17,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,UTA,1
Running Jump Shot,Jump Shot,33.9343,-67,110,-118.3368,7,1,0,Jan-00,9,12,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,UTA,1
Jump Shot,Jump Shot,34.0403,-94,4,-118.3638,2,1,0,Jan-00,44,9,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,UTA,0
Jump Shot,Jump Shot,33.9973,-23,47,-118.2928,1,1,0,Jan-00,16,5,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,UTA,0
Jump Shot,Jump Shot,33.8523,62,192,-118.2078,0,1,0,Jan-00,48,20,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,UTA,0
Driving Layup Shot,Layup,34.0443,0,0,-118.2698,0,1,0,Jan-00,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,UTA,
Jump Shot,Jump Shot,33.8183,-117,226,-118.3868,8,2,0,Jan-00,50,25,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,UTA,1
Jump Shot,Jump Shot,33.9473,-132,97,-118.4018,11,3,0,Jan-00,29,16,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,UTA,0
Driving Layup Shot,Layup,34.0443,0,0,-118.2698,10,3,0,Jan-00,46,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,UTA,
Jump Shot,Jump Shot,33.9003,3,144,-118.2668,10,3,0,Jan-00,8,14,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,UTA,0
Jump Shot,Jump Shot,33.9173,134,127,-118.1358,9,3,0,Jan-00,4,18,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,UTA,0
Running Jump Shot,Jump Shot,33.9343,-16,110,-118.2858,7,3,0,Jan-00,57,11,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,UTA,1
Running Jump Shot,Jump Shot,33.8943,-109,150,-118.3788,5,3,0,Jan-00,47,18,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,UTA,1
Running Jump Shot,Jump Shot,33.9813,-46,63,-118.3158,5,3,0,Jan-00,11,7,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,UTA,1
Layup Shot,Layup,34.0443,0,0,-118.2698,2,3,0,Jan-00,36,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,UTA,0
Jump Shot,Jump Shot,33.8483,-58,196,-118.3278,2,3,0,Jan-00,4,20,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,UTA,0
Jump Shot,Jump Shot,33.8583,-183,186,-118.4528,0,3,0,Jan-00,30,26,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,UTA,0
Jump Shot,Jump Shot,33.8713,85,173,-118.1848,8,4,0,Jan-00,19,19,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,UTA,0
Jump Shot,Jump Shot,33.9573,3,87,-118.2668,6,4,0,Jan-00,22,8,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,UTA,0
Running Jump Shot,Jump Shot,34.0403,121,4,-118.1488,1,4,0,Jan-00,20,12,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,UTA,1
Jump Shot,Jump Shot,34.0103,127,34,-118.1428,0,4,0,Jan-00,30,13,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,UTA,0
Jump Shot,Jump Shot,33.9683,163,76,-118.1068,11,1,0,Jan-00,26,17,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,VAN,
Jump Shot,Jump Shot,33.8503,70,194,-118.1998,10,1,0,Jan-00,58,20,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,VAN,
Layup Shot,Layup,34.0253,1,19,-118.2688,7,1,0,Jan-00,33,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,VAN,
Layup Shot,Layup,34.0293,-12,15,-118.2818,5,1,0,Jan-00,58,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,VAN,
Reverse Layup Shot,Layup,34.0403,1,4,-118.2688,4,1,0,Jan-00,9,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,VAN,
Jump Shot,Jump Shot,33.9283,-117,116,-118.3868,5,2,0,Jan-00,33,16,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,VAN,
Jump Shot,Jump Shot,33.8603,91,184,-118.1788,3,2,0,Jan-00,30,20,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,VAN,1
Jump Shot,Jump Shot,33.7723,-27,272,-118.2968,0,2,0,Jan-00,4,27,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,VAN,1
Jump Shot,Jump Shot,33.9783,-176,66,-118.4458,11,3,0,Jan-00,12,18,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,VAN,0
